model,corruption,severity,strategy,target_val_cov,achieved_test_cov,all_dice,all_la,kept_dice,kept_la,kept_n,file
laweighted_v1,blur,1,grouped_thr,0.7,0.535,0.797824755,0.6982651100000001,0.8532909999999999,0.8014313271028036,107,runs/robust/laweighted_blur_s1.csv
laweighted_v1,blur,1,grouped_thr,0.8,0.64,0.797824755,0.6982651100000001,0.849488,0.7976221875,128,runs/robust/laweighted_blur_s1.csv
laweighted_v1,blur,1,grouped_thr,0.9,0.8,0.797824755,0.6982651100000001,0.824364425,0.74450439375,160,runs/robust/laweighted_blur_s1.csv
laweighted_v1,blur,1,grouped_thr,0.95,0.865,0.797824755,0.6982651100000001,0.8203852254335258,0.7417893583815028,173,runs/robust/laweighted_blur_s1.csv
laweighted_v1,blur,2,grouped_thr,0.7,0.09,0.75035483,0.65338784,0.7728854444444444,0.5680405,18,runs/robust/laweighted_blur_s2.csv
laweighted_v1,blur,2,grouped_thr,0.8,0.14,0.75035483,0.65338784,0.7795510714285714,0.6067084285714285,28,runs/robust/laweighted_blur_s2.csv
laweighted_v1,blur,2,grouped_thr,0.9,0.29,0.75035483,0.65338784,0.7909958103448276,0.6764706206896552,58,runs/robust/laweighted_blur_s2.csv
laweighted_v1,blur,2,grouped_thr,0.95,0.44,0.75035483,0.65338784,0.7862445227272726,0.6923933636363636,88,runs/robust/laweighted_blur_s2.csv
laweighted_v1,blur,3,grouped_thr,0.7,0.0,0.59520856,0.43257455,,,0,runs/robust/laweighted_blur_s3.csv
laweighted_v1,blur,3,grouped_thr,0.8,0.015,0.59520856,0.43257455,0.5603376666666667,0.032203333333333334,3,runs/robust/laweighted_blur_s3.csv
laweighted_v1,blur,3,grouped_thr,0.9,0.015,0.59520856,0.43257455,0.5603376666666667,0.032203333333333334,3,runs/robust/laweighted_blur_s3.csv
laweighted_v1,blur,3,grouped_thr,0.95,0.025,0.59520856,0.43257455,0.5495784,0.019322,5,runs/robust/laweighted_blur_s3.csv
laweighted_v1,contrast,1,grouped_thr,0.7,0.59,0.8156731699999998,0.7214663819095477,0.8707888983050849,0.8408323474576272,118,runs/robust/laweighted_contrast_s1.csv
laweighted_v1,contrast,1,grouped_thr,0.8,0.7,0.8156731699999998,0.7214663819095477,0.8589470857142859,0.8140164142857144,140,runs/robust/laweighted_contrast_s1.csv
laweighted_v1,contrast,1,grouped_thr,0.9,0.84,0.8156731699999998,0.7214663819095477,0.8391211964285714,0.7699877500000001,168,runs/robust/laweighted_contrast_s1.csv
laweighted_v1,contrast,1,grouped_thr,0.95,0.89,0.8156731699999998,0.7214663819095477,0.8335051460674157,0.7558718813559323,178,runs/robust/laweighted_contrast_s1.csv
