model,corruption,severity,strategy,target_val_cov,achieved_test_cov,all_dice,all_la,kept_dice,kept_la,kept_n,file
baseline,noise,2,grouped_thr,0.8,0.295,0.7747575050000001,0.6682669278350515,0.8249130169491525,0.7327385344827586,59,runs/robust/baseline_noise_s2.csv
baseline,noise,2,grouped_thr,0.9,0.415,0.7747575050000001,0.6682669278350515,0.814288421686747,0.7076081604938271,83,runs/robust/baseline_noise_s2.csv
baseline,noise,2,grouped_thr,0.95,0.575,0.7747575050000001,0.6682669278350515,0.8064566434782608,0.7034746017699114,115,runs/robust/baseline_noise_s2.csv
baseline,noise,3,grouped_thr,0.7,0.0,0.66438113,0.48060312182741116,,,0,runs/robust/baseline_noise_s3.csv
baseline,noise,3,grouped_thr,0.8,0.035,0.66438113,0.48060312182741116,0.6793624285714286,0.37386814285714287,7,runs/robust/baseline_noise_s3.csv
baseline,noise,3,grouped_thr,0.9,0.08,0.66438113,0.48060312182741116,0.7059545625,0.4461785333333334,16,runs/robust/baseline_noise_s3.csv
baseline,noise,3,grouped_thr,0.95,0.18,0.66438113,0.48060312182741116,0.7139156666666666,0.4717214117647059,36,runs/robust/baseline_noise_s3.csv
baseline,occlusion,1,grouped_thr,0.7,0.03,0.6709507049999999,0.529227405,0.8278681666666666,0.7782558333333333,6,runs/robust/baseline_occlusion_s1.csv
baseline,occlusion,1,grouped_thr,0.8,0.085,0.6709507049999999,0.529227405,0.7844335882352941,0.6853426470588236,17,runs/robust/baseline_occlusion_s1.csv
baseline,occlusion,1,grouped_thr,0.9,0.2,0.6709507049999999,0.529227405,0.7634280500000001,0.667197875,40,runs/robust/baseline_occlusion_s1.csv
baseline,occlusion,1,grouped_thr,0.95,0.41,0.6709507049999999,0.529227405,0.7356015365853659,0.6347077926829269,82,runs/robust/baseline_occlusion_s1.csv
baseline,occlusion,2,grouped_thr,0.7,0.005,0.586410425,0.41177723,0.803247,0.773271,1,runs/robust/baseline_occlusion_s2.csv
baseline,occlusion,2,grouped_thr,0.8,0.015,0.586410425,0.41177723,0.7859606666666666,0.7620003333333334,3,runs/robust/baseline_occlusion_s2.csv
baseline,occlusion,2,grouped_thr,0.9,0.06,0.586410425,0.41177723,0.6582095833333332,0.47068083333333327,12,runs/robust/baseline_occlusion_s2.csv
baseline,occlusion,2,grouped_thr,0.95,0.245,0.586410425,0.41177723,0.6375055102040816,0.4795714489795918,49,runs/robust/baseline_occlusion_s2.csv
baseline,occlusion,3,grouped_thr,0.7,0.0,0.53103772,0.34054165999999997,,,0,runs/robust/baseline_occlusion_s3.csv
baseline,occlusion,3,grouped_thr,0.8,0.01,0.53103772,0.34054165999999997,0.7735715000000001,0.7569505,2,runs/robust/baseline_occlusion_s3.csv
baseline,occlusion,3,grouped_thr,0.9,0.02,0.53103772,0.34054165999999997,0.7148965,0.6663962499999999,4,runs/robust/baseline_occlusion_s3.csv
baseline,occlusion,3,grouped_thr,0.95,0.105,0.53103772,0.34054165999999997,0.5824874285714285,0.3907815238095238,21,runs/robust/baseline_occlusion_s3.csv
