model,corruption,severity,strategy,target_val_cov,achieved_test_cov,all_dice,all_la,kept_dice,kept_la,kept_n,file
laweighted_v1,blur,1,global_thr,0.7,0.535,0.797824755,0.6982651100000001,0.8517924205607476,0.7987560373831775,107,runs/robust/laweighted_blur_s1.csv
laweighted_v1,blur,1,global_thr,0.8,0.655,0.797824755,0.6982651100000001,0.8437199770992366,0.7822775038167938,131,runs/robust/laweighted_blur_s1.csv
laweighted_v1,blur,1,global_thr,0.9,0.795,0.797824755,0.6982651100000001,0.8206097672955972,0.7301921761006289,159,runs/robust/laweighted_blur_s1.csv
laweighted_v1,blur,1,global_thr,0.95,0.89,0.797824755,0.6982651100000001,0.8115704999999999,0.7168228595505618,178,runs/robust/laweighted_blur_s1.csv
laweighted_v1,blur,2,global_thr,0.7,0.085,0.75035483,0.65338784,0.7642774705882353,0.5443587058823529,17,runs/robust/laweighted_blur_s2.csv
laweighted_v1,blur,2,global_thr,0.8,0.14,0.75035483,0.65338784,0.7887427499999999,0.6207531785714284,28,runs/robust/laweighted_blur_s2.csv
laweighted_v1,blur,2,global_thr,0.9,0.295,0.75035483,0.65338784,0.7813080508474576,0.6451370677966102,59,runs/robust/laweighted_blur_s2.csv
laweighted_v1,blur,2,global_thr,0.95,0.495,0.75035483,0.65338784,0.7880790202020203,0.6991355858585858,99,runs/robust/laweighted_blur_s2.csv
laweighted_v1,blur,3,global_thr,0.7,0.015,0.59520856,0.43257455,0.5603376666666667,0.032203333333333334,3,runs/robust/laweighted_blur_s3.csv
laweighted_v1,blur,3,global_thr,0.8,0.015,0.59520856,0.43257455,0.5603376666666667,0.032203333333333334,3,runs/robust/laweighted_blur_s3.csv
laweighted_v1,blur,3,global_thr,0.9,0.02,0.59520856,0.43257455,0.56609825,0.0241525,4,runs/robust/laweighted_blur_s3.csv
laweighted_v1,blur,3,global_thr,0.95,0.035,0.59520856,0.43257455,0.5743825714285714,0.07776528571428572,7,runs/robust/laweighted_blur_s3.csv
laweighted_v1,contrast,1,global_thr,0.7,0.605,0.8156731699999998,0.7214663819095477,0.8666064958677686,0.831333429752066,121,runs/robust/laweighted_contrast_s1.csv
laweighted_v1,contrast,1,global_thr,0.8,0.72,0.8156731699999998,0.7214663819095477,0.8492213819444445,0.7868640277777779,144,runs/robust/laweighted_contrast_s1.csv
laweighted_v1,contrast,1,global_thr,0.9,0.82,0.8156731699999998,0.7214663819095477,0.8400605304878048,0.7673317256097562,164,runs/robust/laweighted_contrast_s1.csv
laweighted_v1,contrast,1,global_thr,0.95,0.915,0.8156731699999998,0.7214663819095477,0.8295577158469944,0.7449589505494505,183,runs/robust/laweighted_contrast_s1.csv
laweighted_v1,contrast,2,global_thr,0.7,0.51,0.81150462,0.7173671859296483,0.8702390980392155,0.8404066176470588,102,runs/robust/laweighted_contrast_s2.csv
laweighted_v1,contrast,2,global_thr,0.8,0.645,0.81150462,0.7173671859296483,0.8596096434108528,0.8182683023255815,129,runs/robust/laweighted_contrast_s2.csv
laweighted_v1,contrast,2,global_thr,0.9,0.775,0.81150462,0.7173671859296483,0.8446750387096774,0.7848354774193549,155,runs/robust/laweighted_contrast_s2.csv
laweighted_v1,contrast,2,global_thr,0.95,0.86,0.81150462,0.7173671859296483,0.834146284883721,0.7619474152046782,172,runs/robust/laweighted_contrast_s2.csv
laweighted_v1,contrast,3,global_thr,0.7,0.425,0.8030458450000001,0.7105219095477388,0.8724485882352941,0.8504908470588233,85,runs/robust/laweighted_contrast_s3.csv
laweighted_v1,contrast,3,global_thr,0.8,0.5,0.8030458450000001,0.7105219095477388,0.8681657000000002,0.8436887499999998,100,runs/robust/laweighted_contrast_s3.csv
laweighted_v1,contrast,3,global_thr,0.9,0.665,0.8030458450000001,0.7105219095477388,0.8563325413533834,0.823381992481203,133,runs/robust/laweighted_contrast_s3.csv
laweighted_v1,contrast,3,global_thr,0.95,0.775,0.8030458450000001,0.7105219095477388,0.8405908258064517,0.7883074322580645,155,runs/robust/laweighted_contrast_s3.csv
laweighted_v1,gain,1,global_thr,0.7,0.62,0.81766566,0.7241234623115578,0.8663440967741936,0.8277530645161291,124,runs/robust/laweighted_gain_s1.csv
laweighted_v1,gain,1,global_thr,0.8,0.725,0.81766566,0.7241234623115578,0.8505807586206896,0.7887696413793103,145,runs/robust/laweighted_gain_s1.csv
laweighted_v1,gain,1,global_thr,0.9,0.835,0.81766566,0.7241234623115578,0.8421540000000001,0.770035156626506,167,runs/robust/laweighted_gain_s1.csv
laweighted_v1,gain,1,global_thr,0.95,0.925,0.81766566,0.7241234623115578,0.8296936162162162,0.7436967771739131,185,runs/robust/laweighted_gain_s1.csv
laweighted_v1,gain,2,global_thr,0.7,0.6,0.8170111400000001,0.723334592964824,0.8682113000000001,0.8340616416666665,120,runs/robust/laweighted_gain_s2.csv
laweighted_v1,gain,2,global_thr,0.8,0.715,0.8170111400000001,0.723334592964824,0.8520220349650349,0.7941926433566433,143,runs/robust/laweighted_gain_s2.csv
laweighted_v1,gain,2,global_thr,0.9,0.825,0.8170111400000001,0.723334592964824,0.8412507696969697,0.7694675515151517,165,runs/robust/laweighted_gain_s2.csv
laweighted_v1,gain,2,global_thr,0.95,0.905,0.8170111400000001,0.723334592964824,0.8315398729281768,0.7492742666666667,181,runs/robust/laweighted_gain_s2.csv
laweighted_v1,gain,3,global_thr,0.7,0.555,0.81394556,0.7184130351758795,0.8681194594594595,0.8360686036036036,111,runs/robust/laweighted_gain_s3.csv
laweighted_v1,gain,3,global_thr,0.8,0.68,0.81394556,0.7184130351758795,0.8557667720588235,0.8099378161764706,136,runs/robust/laweighted_gain_s3.csv
laweighted_v1,gain,3,global_thr,0.9,0.81,0.81394556,0.7184130351758795,0.8382842654320988,0.7649863580246915,162,runs/robust/laweighted_gain_s3.csv
laweighted_v1,gain,3,global_thr,0.95,0.875,0.81394556,0.7184130351758795,0.8332449657142857,0.7562309827586206,175,runs/robust/laweighted_gain_s3.csv
